Song,Artist,Week,Rank
 Burn,Ellie Goulding,2014-01-04,15
 Do What U Want,"Lady Gaga, ft. R. Kelly",2014-01-04,16
 Sweater Weather,The Neighbourhood,2014-01-04,17
 Team,Lorde,2014-01-04,18
 White Walls,"Macklemore and Ryan Lewis, ft. ScHoolboy Q & Hollis",2014-01-04,19
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-01-04,20
 Pompeii,Bastille,2014-01-04,21
 Stay The Night,"Zedd, feat. Hayley Williams",2014-01-04,22
 Unconditionally,Katy Perry,2014-01-04,23
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-01-04,24
 Applause,Lady Gaga,2014-01-04,25
 All I Want For Christmas Is You,Mariah Carey,2014-01-04,26
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-01-04,27
 Holy Grail,"Jay-Z, ft. Justin Timberlake",2014-01-04,28
 Show Me,"Kid Ink, ft. Chris Brown",2014-01-04,29
 Stay,Florida Georgia Line,2014-01-04,30
 Radioactive,Imagine Dragons,2014-01-04,31
 Love More,"Chris Brown, ft. Nicki Minaj",2014-01-04,32
 Gas Pedal,"Sage The Gemini, feat. IamSu!",2014-01-04,33
 Drink A Beer,Luke Bryan,2014-01-04,34
 Brave,Sara Bareilles,2014-01-04,35
 It Won't Stop,Sevyn Streeter featuring Chris Brown,2014-01-04,36
 All Me,"Drake, ft. 2 Chainz & Big Sean",2014-01-04,37
 Rap God,Eminem,2014-01-04,38
 Sail,AWOLNATION,2014-01-04,39
 Whatever She's Got,David Nail,2014-01-04,40
 Marry Me,Jason Derulo,2014-01-04,41
 Safe And Sound,Capital Cities,2014-01-04,42
 Drunk Last Night,Eli Young Band,2014-01-04,43
 Best Day Of My Life,American Authors,2014-01-04,44
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",2014-01-04,45
 Wasting All These Tears,Cassadee Pope,2014-01-04,46
 Carolina,Parmalee,2014-01-04,47
 Who You Love,"John Mayer, ft. Katy Perry",2014-01-04,48
 Replay,Zendaya,2014-01-04,49
 Rockin' Around The Christmas Tree,Brenda Lee,2014-01-04,50
The Monster,"Eminem, ft. Rihanna",2014-01-11,1
 Timber,"Pitbull, feat. Ke$ha",2014-01-11,2
 Counting Stars,OneRepublic,2014-01-11,3
 Royals,Lorde,2014-01-11,4
 Say Something,"A Great Big World, & Christina Aguilera",2014-01-11,5
 Demons,Imagine Dragons,2014-01-11,6
 Let Her Go,Passenger,2014-01-11,7
 Roar,Katy Perry,2014-01-11,8
 Story Of My Life,One Direction,2014-01-11,9
 Wake Me Up!,Avicii,2014-01-11,10
 Dark Horse,"Katy Perry, feat. Juicy J",2014-01-11,11
 Wrecking Ball,Miley Cyrus,2014-01-11,12
 Burn,Ellie Goulding,2014-01-11,13
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-01-11,14
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-01-11,15
 Sweater Weather,The Neighbourhood,2014-01-11,16
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-01-11,17
 White Walls,"Macklemore and Ryan Lewis, ft. ScHoolboy Q & Hollis",2014-01-11,18
 Team,Lorde,2014-01-11,19
 Unconditionally,Katy Perry,2014-01-11,20
 Pompeii,Bastille,2014-01-11,21
 Adore You,Miley Cyrus,2014-01-11,22
 Do What U Want,"Lady Gaga, ft. R. Kelly",2014-01-11,23
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-01-11,24
 Radioactive,Imagine Dragons,2014-01-11,25
 Applause,Lady Gaga,2014-01-11,26
 Stay The Night,"Zedd, feat. Hayley Williams",2014-01-11,27
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-01-11,28
 Holy Grail,"Jay-Z, ft. Justin Timberlake",2014-01-11,29
 Gas Pedal,"Sage The Gemini, feat. IamSu!",2014-01-11,30
 Stay,Florida Georgia Line,2014-01-11,31
 Let It Go,Idina Menzel,2014-01-11,32
 Rap God,Eminem,2014-01-11,33
 That's My Kind Of Night,Luke Bryan,2014-01-11,34
 Sail,AWOLNATION,2014-01-11,35
 Brave,Sara Bareilles,2014-01-11,36
 Drink A Beer,Luke Bryan,2014-01-11,37
 Turn Down For What,"DJ Snake, & Lil Jon",2014-01-11,38
 Marry Me,Jason Derulo,2014-01-11,39
 Replay,Zendaya,2014-01-11,40
 All Me,"Drake, ft. 2 Chainz & Big Sean",2014-01-11,41
 Show Me,"Kid Ink, ft. Chris Brown",2014-01-11,42
 Let It Go,Demi Lovato,2014-01-11,43
 Love More,"Chris Brown, ft. Nicki Minaj",2014-01-11,44
 Safe And Sound,Capital Cities,2014-01-11,45
 Whatever She's Got,David Nail,2014-01-11,46
 Wasting All These Tears,Cassadee Pope,2014-01-11,47
 Berzerk,Eminem,2014-01-11,48
 It Won't Stop,Sevyn Streeter featuring Chris Brown,2014-01-11,49
 Carolina,Parmalee,2014-01-11,50
 Timber,"Pitbull, feat. Ke$ha",2014-01-18,1
 Counting Stars,OneRepublic,2014-01-18,2
The Monster,"Eminem, ft. Rihanna",2014-01-18,3
 Royals,Lorde,2014-01-18,4
 Say Something,"A Great Big World, & Christina Aguilera",2014-01-18,5
 Dark Horse,"Katy Perry, feat. Juicy J",2014-01-18,6
 Let Her Go,Passenger,2014-01-18,7
 Wake Me Up!,Avicii,2014-01-18,8
 Wrecking Ball,Miley Cyrus,2014-01-18,9
 Demons,Imagine Dragons,2014-01-18,10
 Roar,Katy Perry,2014-01-18,11
 Story Of My Life,One Direction,2014-01-18,12
 Burn,Ellie Goulding,2014-01-18,13
 Team,Lorde,2014-01-18,14
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-01-18,15
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-01-18,16
 Do What U Want,"Lady Gaga, ft. R. Kelly",2014-01-18,17
 Pompeii,Bastille,2014-01-18,18
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-01-18,19
 Sweater Weather,The Neighbourhood,2014-01-18,20
 White Walls,"Macklemore and Ryan Lewis, ft. ScHoolboy Q & Hollis",2014-01-18,21
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-01-18,22
 Stay The Night,"Zedd, feat. Hayley Williams",2014-01-18,23
 Radioactive,Imagine Dragons,2014-01-18,24
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-01-18,25
 Applause,Lady Gaga,2014-01-18,26
 Let It Go,Idina Menzel,2014-01-18,27
 Safe And Sound,Capital Cities,2014-01-18,28
 Unconditionally,Katy Perry,2014-01-18,29
 Brave,Sara Bareilles,2014-01-18,30
 Show Me,"Kid Ink, ft. Chris Brown",2014-01-18,31
 Adore You,Miley Cyrus,2014-01-18,32
 Holy Grail,"Jay-Z, ft. Justin Timberlake",2014-01-18,33
 Stay,Florida Georgia Line,2014-01-18,34
 Sail,AWOLNATION,2014-01-18,35
 Drink A Beer,Luke Bryan,2014-01-18,36
 Turn Down For What,"DJ Snake, & Lil Jon",2014-01-18,37
 Let It Go,Demi Lovato,2014-01-18,38
 Gas Pedal,"Sage The Gemini, feat. IamSu!",2014-01-18,39
 Best Day Of My Life,American Authors,2014-01-18,40
 Love More,"Chris Brown, ft. Nicki Minaj",2014-01-18,41
 Replay,Zendaya,2014-01-18,42
 Whatever She's Got,David Nail,2014-01-18,43
 All Me,"Drake, ft. 2 Chainz & Big Sean",2014-01-18,44
 That's My Kind Of Night,Luke Bryan,2014-01-18,45
 Rap God,Eminem,2014-01-18,46
 It Won't Stop,Sevyn Streeter featuring Chris Brown,2014-01-18,47
 Chillin' It,Cole Swindell,2014-01-18,48
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-01-18,49
 Wasting All These Tears,Cassadee Pope,2014-01-18,50
 Timber,"Pitbull, feat. Ke$ha",2014-01-25,1
 Counting Stars,OneRepublic,2014-01-25,2
The Monster,"Eminem, ft. Rihanna",2014-01-25,3
 Dark Horse,"Katy Perry, feat. Juicy J",2014-01-25,4
 Say Something,"A Great Big World, & Christina Aguilera",2014-01-25,5
 Let Her Go,Passenger,2014-01-25,6
 Royals,Lorde,2014-01-25,7
 Wake Me Up!,Avicii,2014-01-25,8
 Demons,Imagine Dragons,2014-01-25,9
 Story Of My Life,One Direction,2014-01-25,10
 Team,Lorde,2014-01-25,11
 Pompeii,Bastille,2014-01-25,12
 Roar,Katy Perry,2014-01-25,13
 Wrecking Ball,Miley Cyrus,2014-01-25,14
 Burn,Ellie Goulding,2014-01-25,15
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-01-25,16
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-01-25,17
 Stay The Night,"Zedd, feat. Hayley Williams",2014-01-25,18
 Do What U Want,"Lady Gaga, ft. R. Kelly",2014-01-25,19
 Sweater Weather,The Neighbourhood,2014-01-25,20
 Show Me,"Kid Ink, ft. Chris Brown",2014-01-25,21
 White Walls,"Macklemore and Ryan Lewis, ft. ScHoolboy Q & Hollis",2014-01-25,22
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-01-25,23
The Man,Aloe Blacc,2014-01-25,24
 Let It Go,Idina Menzel,2014-01-25,25
 Brave,Sara Bareilles,2014-01-25,26
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-01-25,27
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-01-25,28
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-01-25,29
 Safe And Sound,Capital Cities,2014-01-25,30
 Radioactive,Imagine Dragons,2014-01-25,31
 Unconditionally,Katy Perry,2014-01-25,32
 Drink A Beer,Luke Bryan,2014-01-25,33
 Adore You,Miley Cyrus,2014-01-25,34
 Stay,Florida Georgia Line,2014-01-25,35
 Love Me Again,John Newman,2014-01-25,36
 Applause,Lady Gaga,2014-01-25,37
 Best Day Of My Life,American Authors,2014-01-25,38
 Whatever She's Got,David Nail,2014-01-25,39
 Love More,"Chris Brown, ft. Nicki Minaj",2014-01-25,40
 Sail,AWOLNATION,2014-01-25,41
 All Me,"Drake, ft. 2 Chainz & Big Sean",2014-01-25,42
 Holy Grail,"Jay-Z, ft. Justin Timberlake",2014-01-25,43
 Hey Brother,Avicii,2014-01-25,44
 Replay,Zendaya,2014-01-25,45
 Rap God,Eminem,2014-01-25,46
 Gas Pedal,"Sage The Gemini, feat. IamSu!",2014-01-25,47
 Chillin' It,Cole Swindell,2014-01-25,48
 It Won't Stop,Sevyn Streeter featuring Chris Brown,2014-01-25,49
 XO,Beyonce,2014-01-25,50
 Timber,"Pitbull, feat. Ke$ha",2014-02-01,1
 Dark Horse,"Katy Perry, feat. Juicy J",2014-02-01,2
 Counting Stars,OneRepublic,2014-02-01,3
 Say Something,"A Great Big World, & Christina Aguilera",2014-02-01,4
The Monster,"Eminem, ft. Rihanna",2014-02-01,5
 Let Her Go,Passenger,2014-02-01,6
 Royals,Lorde,2014-02-01,7
 Team,Lorde,2014-02-01,8
 Story Of My Life,One Direction,2014-02-01,9
 Pompeii,Bastille,2014-02-01,10
 Wake Me Up!,Avicii,2014-02-01,11
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-02-01,12
 Demons,Imagine Dragons,2014-02-01,13
 Burn,Ellie Goulding,2014-02-01,14
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-02-01,15
 Roar,Katy Perry,2014-02-01,16
The Man,Aloe Blacc,2014-02-01,17
 Wrecking Ball,Miley Cyrus,2014-02-01,18
 Do What U Want,"Lady Gaga, ft. R. Kelly",2014-02-01,19
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-02-01,20
 Sweater Weather,The Neighbourhood,2014-02-01,21
 Stay The Night,"Zedd, feat. Hayley Williams",2014-02-01,22
 White Walls,"Macklemore and Ryan Lewis, ft. ScHoolboy Q & Hollis",2014-02-01,23
 Show Me,"Kid Ink, ft. Chris Brown",2014-02-01,24
 Happy,Pharrell Williams,2014-02-01,25
 Let It Go,Idina Menzel,2014-02-01,26
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-02-01,27
 Can't Remember To Forget You,"Shakira, feat. Rihanna",2014-02-01,28
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-02-01,29
 Adore You,Miley Cyrus,2014-02-01,30
 Brave,Sara Bareilles,2014-02-01,31
 Best Day Of My Life,American Authors,2014-02-01,32
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-02-01,33
 Drink A Beer,Luke Bryan,2014-02-01,34
 Love Me Again,John Newman,2014-02-01,35
 Safe And Sound,Capital Cities,2014-02-01,36
 Hey Brother,Avicii,2014-02-01,37
 Chillin' It,Cole Swindell,2014-02-01,38
 Whatever She's Got,David Nail,2014-02-01,39
 Stay,Florida Georgia Line,2014-02-01,40
 Radioactive,Imagine Dragons,2014-02-01,41
 Turn Down For What,"DJ Snake, & Lil Jon",2014-02-01,42
 Unconditionally,Katy Perry,2014-02-01,43
 All Me,"Drake, ft. 2 Chainz & Big Sean",2014-02-01,44
 XO,Beyonce,2014-02-01,45
 Love More,"Chris Brown, ft. Nicki Minaj",2014-02-01,46
 Sail,AWOLNATION,2014-02-01,47
 Applause,Lady Gaga,2014-02-01,48
 All Of Me,John Legend,2014-02-01,49
 It Won't Stop,Sevyn Streeter featuring Chris Brown,2014-02-01,50
 Dark Horse,"Katy Perry, feat. Juicy J",2014-02-08,1
 Timber,"Pitbull, feat. Ke$ha",2014-02-08,2
 Counting Stars,OneRepublic,2014-02-08,3
 Say Something,"A Great Big World, & Christina Aguilera",2014-02-08,4
The Monster,"Eminem, ft. Rihanna",2014-02-08,5
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-02-08,6
 Let Her Go,Passenger,2014-02-08,7
 Team,Lorde,2014-02-08,8
 Royals,Lorde,2014-02-08,9
 Pompeii,Bastille,2014-02-08,10
 Happy,Pharrell Williams,2014-02-08,11
 Story Of My Life,One Direction,2014-02-08,12
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-02-08,13
 Burn,Ellie Goulding,2014-02-08,14
 Demons,Imagine Dragons,2014-02-08,15
The Man,Aloe Blacc,2014-02-08,16
 Wake Me Up!,Avicii,2014-02-08,17
 Roar,Katy Perry,2014-02-08,18
 Show Me,"Kid Ink, ft. Chris Brown",2014-02-08,19
 Wrecking Ball,Miley Cyrus,2014-02-08,20
 Let It Go,Idina Menzel,2014-02-08,21
 Stay The Night,"Zedd, feat. Hayley Williams",2014-02-08,22
 Sweater Weather,The Neighbourhood,2014-02-08,23
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-02-08,24
 Do What U Want,"Lady Gaga, ft. R. Kelly",2014-02-08,25
 Brave,Sara Bareilles,2014-02-08,26
 All Of Me,John Legend,2014-02-08,27
 White Walls,"Macklemore and Ryan Lewis, ft. ScHoolboy Q & Hollis",2014-02-08,28
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-02-08,29
 Adore You,Miley Cyrus,2014-02-08,30
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-02-08,31
 Love Me Again,John Newman,2014-02-08,32
 Radioactive,Imagine Dragons,2014-02-08,33
 Best Day Of My Life,American Authors,2014-02-08,34
 Drink A Beer,Luke Bryan,2014-02-08,35
 Hey Brother,Avicii,2014-02-08,36
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-02-08,37
 Whatever She's Got,David Nail,2014-02-08,38
 Safe And Sound,Capital Cities,2014-02-08,39
 Chillin' It,Cole Swindell,2014-02-08,40
 Turn Down For What,"DJ Snake, & Lil Jon",2014-02-08,41
 Sail,AWOLNATION,2014-02-08,42
 When She Says Baby,Jason Aldean,2014-02-08,43
 All Me,"Drake, ft. 2 Chainz & Big Sean",2014-02-08,44
 Stay,Florida Georgia Line,2014-02-08,45
 XO,Beyonce,2014-02-08,46
 Friday Night,Eric Paslay,2014-02-08,47
 It Won't Stop,Sevyn Streeter featuring Chris Brown,2014-02-08,48
 Unconditionally,Katy Perry,2014-02-08,49
 Animals,Martin Garrix,2014-02-08,50
 Dark Horse,"Katy Perry, feat. Juicy J",2014-02-15,1
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-02-15,2
 Timber,"Pitbull, feat. Ke$ha",2014-02-15,3
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-02-15,4
 Counting Stars,OneRepublic,2014-02-15,5
 Let Her Go,Passenger,2014-02-15,6
 Say Something,"A Great Big World, & Christina Aguilera",2014-02-15,7
 Happy,Pharrell Williams,2014-02-15,8
 Royals,Lorde,2014-02-15,9
 Team,Lorde,2014-02-15,10
 Pompeii,Bastille,2014-02-15,11
The Monster,"Eminem, ft. Rihanna",2014-02-15,12
 Radioactive,Imagine Dragons,2014-02-15,13
 Story Of My Life,One Direction,2014-02-15,14
 Can't Remember To Forget You,"Shakira, feat. Rihanna",2014-02-15,15
 Burn,Ellie Goulding,2014-02-15,16
 All Of Me,John Legend,2014-02-15,17
 Demons,Imagine Dragons,2014-02-15,18
 Wake Me Up!,Avicii,2014-02-15,19
 Roar,Katy Perry,2014-02-15,20
The Man,Aloe Blacc,2014-02-15,21
 Show Me,"Kid Ink, ft. Chris Brown",2014-02-15,22
 Brave,Sara Bareilles,2014-02-15,23
 Let It Go,Idina Menzel,2014-02-15,24
 Adore You,Miley Cyrus,2014-02-15,25
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-02-15,26
 Wrecking Ball,Miley Cyrus,2014-02-15,27
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-02-15,28
 White Walls,"Macklemore and Ryan Lewis, ft. ScHoolboy Q & Hollis",2014-02-15,29
 Stay The Night,"Zedd, feat. Hayley Williams",2014-02-15,30
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-02-15,31
 Sweater Weather,The Neighbourhood,2014-02-15,32
 Love Me Again,John Newman,2014-02-15,33
 Best Day Of My Life,American Authors,2014-02-15,34
 Drink A Beer,Luke Bryan,2014-02-15,35
 Do What U Want,"Lady Gaga, ft. R. Kelly",2014-02-15,36
 Hey Brother,Avicii,2014-02-15,37
 Young Girls,Bruno Mars,2014-02-15,38
 Whatever She's Got,David Nail,2014-02-15,39
 Safe And Sound,Capital Cities,2014-02-15,40
 Chillin' It,Cole Swindell,2014-02-15,41
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-02-15,42
 Turn Down For What,"DJ Snake, & Lil Jon",2014-02-15,43
 Invisible,Hunter Hayes,2014-02-15,44
 Odio,"Romeo Santos, feat. Drake",2014-02-15,45
 When She Says Baby,Jason Aldean,2014-02-15,46
 Sail,AWOLNATION,2014-02-15,47
 Animals,Martin Garrix,2014-02-15,48
 It Won't Stop,Sevyn Streeter featuring Chris Brown,2014-02-15,49
 XO,Beyonce,2014-02-15,50
 Dark Horse,"Katy Perry, feat. Juicy J",2014-02-22,1
 Happy,Pharrell Williams,2014-02-22,2
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-02-22,3
 Say Something,"A Great Big World, & Christina Aguilera",2014-02-22,4
 Let Her Go,Passenger,2014-02-22,5
 Timber,"Pitbull, feat. Ke$ha",2014-02-22,6
 Counting Stars,OneRepublic,2014-02-22,7
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-02-22,8
 Team,Lorde,2014-02-22,9
 Pompeii,Bastille,2014-02-22,10
The Monster,"Eminem, ft. Rihanna",2014-02-22,11
 Royals,Lorde,2014-02-22,12
 Story Of My Life,One Direction,2014-02-22,13
 Burn,Ellie Goulding,2014-02-22,14
 All Of Me,John Legend,2014-02-22,15
 Demons,Imagine Dragons,2014-02-22,16
The Man,Aloe Blacc,2014-02-22,17
 Let It Go,Idina Menzel,2014-02-22,18
 Wake Me Up!,Avicii,2014-02-22,19
 Show Me,"Kid Ink, ft. Chris Brown",2014-02-22,20
 Can't Remember To Forget You,"Shakira, feat. Rihanna",2014-02-22,21
 Roar,Katy Perry,2014-02-22,22
 Radioactive,Imagine Dragons,2014-02-22,23
 Adore You,Miley Cyrus,2014-02-22,24
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-02-22,25
 Best Day Of My Life,American Authors,2014-02-22,26
 Wrecking Ball,Miley Cyrus,2014-02-22,27
 Brave,Sara Bareilles,2014-02-22,28
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-02-22,29
 Hey Brother,Avicii,2014-02-22,30
 Love Me Again,John Newman,2014-02-22,31
 Drink A Beer,Luke Bryan,2014-02-22,32
 Young Girls,Bruno Mars,2014-02-22,33
 Sweater Weather,The Neighbourhood,2014-02-22,34
 Whatever She's Got,David Nail,2014-02-22,35
 Stay The Night,"Zedd, feat. Hayley Williams",2014-02-22,36
 Turn Down For What,"DJ Snake, & Lil Jon",2014-02-22,37
 Chillin' It,Cole Swindell,2014-02-22,38
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-02-22,39
 When She Says Baby,Jason Aldean,2014-02-22,40
 Sail,AWOLNATION,2014-02-22,41
 Paranoid,"Ty Dolla $ign, feat. B.o.B",2014-02-22,42
 Safe And Sound,Capital Cities,2014-02-22,43
 White Walls,"Macklemore and Ryan Lewis, ft. ScHoolboy Q & Hollis",2014-02-22,44
 Animals,Martin Garrix,2014-02-22,45
 Neon Lights,Demi Lovato,2014-02-22,46
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-02-22,47
 Bottoms Up,Brantley Gilbert,2014-02-22,48
 Friday Night,Eric Paslay,2014-02-22,49
 Do What U Want,"Lady Gaga, ft. R. Kelly",2014-02-22,50
 Dark Horse,"Katy Perry, feat. Juicy J",2014-03-01,1
 Happy,Pharrell Williams,2014-03-01,2
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-03-01,3
 Say Something,"A Great Big World, & Christina Aguilera",2014-03-01,4
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-03-01,5
 Counting Stars,OneRepublic,2014-03-01,6
 Timber,"Pitbull, feat. Ke$ha",2014-03-01,7
 Pompeii,Bastille,2014-03-01,8
 Team,Lorde,2014-03-01,9
 Let Her Go,Passenger,2014-03-01,10
 All Of Me,John Legend,2014-03-01,11
 Story Of My Life,One Direction,2014-03-01,12
The Monster,"Eminem, ft. Rihanna",2014-03-01,13
 Royals,Lorde,2014-03-01,14
 Burn,Ellie Goulding,2014-03-01,15
The Man,Aloe Blacc,2014-03-01,16
 Show Me,"Kid Ink, ft. Chris Brown",2014-03-01,17
 Let It Go,Idina Menzel,2014-03-01,18
 Demons,Imagine Dragons,2014-03-01,19
 Wake Me Up!,Avicii,2014-03-01,20
 Adore You,Miley Cyrus,2014-03-01,21
 Can't Remember To Forget You,"Shakira, feat. Rihanna",2014-03-01,22
 Roar,Katy Perry,2014-03-01,23
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-03-01,24
 Best Day Of My Life,American Authors,2014-03-01,25
 Radioactive,Imagine Dragons,2014-03-01,26
 Hey Brother,Avicii,2014-03-01,27
 Chillin' It,Cole Swindell,2014-03-01,28
 Wrecking Ball,Miley Cyrus,2014-03-01,29
 Love Me Again,John Newman,2014-03-01,30
 Drink A Beer,Luke Bryan,2014-03-01,31
 Turn Down For What,"DJ Snake, & Lil Jon",2014-03-01,32
 Brave,Sara Bareilles,2014-03-01,33
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-03-01,34
 Young Girls,Bruno Mars,2014-03-01,35
 Neon Lights,Demi Lovato,2014-03-01,36
 Animals,Martin Garrix,2014-03-01,37
 Paranoid,"Ty Dolla $ign, feat. B.o.B",2014-03-01,38
 Sweater Weather,The Neighbourhood,2014-03-01,39
 Sail,AWOLNATION,2014-03-01,40
 When She Says Baby,Jason Aldean,2014-03-01,41
 Bottoms Up,Brantley Gilbert,2014-03-01,42
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-03-01,43
 Give Me Back My Hometown,Eric Church,2014-03-01,44
 Whatever She's Got,David Nail,2014-03-01,45
 Safe And Sound,Capital Cities,2014-03-01,46
 Stay The Night,"Zedd, feat. Hayley Williams",2014-03-01,47
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-03-01,48
 Doin' What She Likes,Blake Shelton,2014-03-01,49
 Compass,Lady Antebellum,2014-03-01,50
 Happy,Pharrell Williams,2014-03-08,1
 Dark Horse,"Katy Perry, feat. Juicy J",2014-03-08,2
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-03-08,3
 All Of Me,John Legend,2014-03-08,4
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-03-08,5
 Pompeii,Bastille,2014-03-08,6
 Team,Lorde,2014-03-08,7
 Say Something,"A Great Big World, & Christina Aguilera",2014-03-08,8
 Counting Stars,OneRepublic,2014-03-08,9
 Timber,"Pitbull, feat. Ke$ha",2014-03-08,10
 Let Her Go,Passenger,2014-03-08,11
 Story Of My Life,One Direction,2014-03-08,12
The Man,Aloe Blacc,2014-03-08,13
The Monster,"Eminem, ft. Rihanna",2014-03-08,14
 Burn,Ellie Goulding,2014-03-08,15
 Show Me,"Kid Ink, ft. Chris Brown",2014-03-08,16
 Royals,Lorde,2014-03-08,17
 Let It Go,Idina Menzel,2014-03-08,18
 Demons,Imagine Dragons,2014-03-08,19
 Wake Me Up!,Avicii,2014-03-08,20
 Roar,Katy Perry,2014-03-08,21
 My Hitta,"YG, feat. Jeezy & Rich Homie Quan",2014-03-08,22
 Best Day Of My Life,American Authors,2014-03-08,23
 Hey Brother,Avicii,2014-03-08,24
 Adore You,Miley Cyrus,2014-03-08,25
 Can't Remember To Forget You,"Shakira, feat. Rihanna",2014-03-08,26
 Radioactive,Imagine Dragons,2014-03-08,27
 Chillin' It,Cole Swindell,2014-03-08,28
 Turn Down For What,"DJ Snake, & Lil Jon",2014-03-08,29
 Love Me Again,John Newman,2014-03-08,30
 Wrecking Ball,Miley Cyrus,2014-03-08,31
 Young Girls,Bruno Mars,2014-03-08,32
 Paranoid,"Ty Dolla $ign, feat. B.o.B",2014-03-08,33
 Bottoms Up,Brantley Gilbert,2014-03-08,34
" Hold On, We're Going Home","Drake, ft. Majid Jordan",2014-03-08,35
 Animals,Martin Garrix,2014-03-08,36
 Drink A Beer,Luke Bryan,2014-03-08,37
 Neon Lights,Demi Lovato,2014-03-08,38
 Brave,Sara Bareilles,2014-03-08,39
 When She Says Baby,Jason Aldean,2014-03-08,40
 Sail,AWOLNATION,2014-03-08,41
 Blurred Lines,"Robin Thicke, feat. T.I. + Pharrell",2014-03-08,42
 Doin' What She Likes,Blake Shelton,2014-03-08,43
 Safe And Sound,Capital Cities,2014-03-08,44
 Sweater Weather,The Neighbourhood,2014-03-08,45
 Compass,Lady Antebellum,2014-03-08,46
 Give Me Back My Hometown,Eric Church,2014-03-08,47
 Loyal,"Chris Brown, ft. Lil Wayne & Tyga",2014-03-08,48
 Whatever She's Got,David Nail,2014-03-08,49
 23,"Mike WiLL Made-It, ft. Miley Cyrus, Wiz Khalifa & Juicy J",2014-03-08,50
 Happy,Pharrell Williams,2014-03-15,1
 Dark Horse,"Katy Perry, feat. Juicy J",2014-03-15,2
 Talk Dirty,"Jason Derulo, ft. 2 Chainz",2014-03-15,3
 All Of Me,John Legend,2014-03-15,4
 Pompeii,Bastille,2014-03-15,5
 Team,Lorde,2014-03-15,6
 Drunk In Love,"Beyonce, ft. Jay-Z",2014-03-15,7
 Counting Stars,OneRepublic,2014-03-15,8
 Say Something,"A Great Big World, & Christina Aguilera",2014-03-15,9
